Date;Minutes Watched;Hours Watched;Total Watch Count;Series Watch Count;Movie Watch Count
2009-09-06;71;1.18;1;0;1;
2009-09-07;0;0.0;0;0;0;
2009-09-08;215;3.58;2;0;2;
2009-09-09;117;1.95;1;0;1;
2009-09-10;115;1.92;1;0;1;
2009-09-11;0;0.0;0;0;0;
2009-09-12;189;3.15;2;0;2;
2009-09-13;467;7.78;6;0;5;
2009-09-14;93;1.55;1;0;1;
2009-09-15;317;5.28;3;0;3;
2009-09-16;353;5.88;4;1;3;
2009-09-17;0;0.0;0;0;0;
2009-09-18;0;0.0;1;0;0;
2009-09-19;90;1.5;1;0;1;
2009-09-20;330;5.5;5;4;1;
2009-09-21;0;0.0;0;0;0;
2009-09-22;0;0.0;0;0;0;
2009-09-23;0;0.0;0;0;0;
2009-09-24;0;0.0;0;0;0;
2009-09-25;105;1.75;1;0;1;
2009-09-26;0;0.0;0;0;0;
2009-09-27;141;2.35;2;1;1;
2009-09-28;0;0.0;0;0;0;
2009-09-29;53;0.88;1;1;0;
2009-09-30;265;4.42;5;5;0;
2009-10-01;318;5.3;6;6;0;
2009-10-02;404;6.73;7;6;1;
2009-10-03;292;4.87;3;0;3;
2009-10-04;0;0.0;0;0;0;
2009-10-05;0;0.0;0;0;0;
2009-10-06;0;0.0;0;0;0;
2009-10-07;0;0.0;0;0;0;
2009-10-08;0;0.0;0;0;0;
2009-10-09;0;0.0;0;0;0;
2009-10-10;108;1.8;1;0;1;
2009-10-11;130;2.17;2;0;1;
2009-10-12;0;0.0;0;0;0;
2009-10-13;99;1.65;1;0;1;
2009-10-14;0;0.0;0;0;0;
2009-10-15;0;0.0;0;0;0;
2009-10-16;0;0.0;0;0;0;
2009-10-17;0;0.0;0;0;0;
2009-10-18;0;0.0;0;0;0;
2009-10-19;0;0.0;0;0;0;
2009-10-20;0;0.0;0;0;0;
2009-10-21;0;0.0;0;0;0;
2009-10-22;0;0.0;0;0;0;
2009-10-23;0;0.0;0;0;0;
2009-10-24;0;0.0;0;0;0;
2009-10-25;100;1.67;1;0;1;
2009-10-26;0;0.0;0;0;0;
2009-10-27;0;0.0;0;0;0;
2009-10-28;0;0.0;0;0;0;
2009-10-29;0;0.0;0;0;0;
2009-10-30;0;0.0;0;0;0;
2009-10-31;235;3.92;2;0;2;
2009-11-01;0;0.0;0;0;0;
2009-11-02;0;0.0;0;0;0;
2009-11-03;212;3.53;2;0;2;
2009-11-04;99;1.65;1;0;1;
2009-11-05;88;1.47;1;0;1;
2009-11-06;100;1.67;1;0;1;
2009-11-07;0;0.0;0;0;0;
2009-11-08;0;0.0;0;0;0;
2009-11-09;0;0.0;0;0;0;
2009-11-10;0;0.0;0;0;0;
2009-11-11;0;0.0;0;0;0;
2009-11-12;0;0.0;0;0;0;
2009-11-13;0;0.0;0;0;0;
2009-11-14;188;3.13;5;4;1;
2009-11-15;22;0.37;1;1;0;
2009-11-16;0;0.0;0;0;0;
2009-11-17;0;0.0;0;0;0;
2009-11-18;44;0.73;2;2;0;
2009-11-19;97;1.62;1;0;1;
2009-11-20;0;0.0;0;0;0;
2009-11-21;0;0.0;0;0;0;
2009-11-22;80;1.33;2;1;1;
2009-11-23;123;2.05;1;0;1;
2009-11-24;0;0.0;0;0;0;
2009-11-25;130;2.17;2;1;1;
2009-11-26;0;0.0;0;0;0;
2009-11-27;0;0.0;0;0;0;
2009-11-28;0;0.0;0;0;0;
2009-11-29;0;0.0;0;0;0;
2009-11-30;0;0.0;0;0;0;
2009-12-01;0;0.0;0;0;0;
2009-12-02;0;0.0;0;0;0;
2009-12-03;0;0.0;0;0;0;
2009-12-04;0;0.0;0;0;0;
2009-12-05;0;0.0;0;0;0;
2009-12-06;0;0.0;0;0;0;
2009-12-07;0;0.0;0;0;0;
2009-12-08;125;2.08;1;0;1;
2009-12-09;93;1.55;1;0;1;
2009-12-10;0;0.0;0;0;0;
2009-12-11;0;0.0;0;0;0;
2009-12-12;0;0.0;0;0;0;
2009-12-13;0;0.0;0;0;0;
2009-12-14;0;0.0;0;0;0;
2009-12-15;0;0.0;0;0;0;
2009-12-16;0;0.0;0;0;0;
2009-12-17;0;0.0;0;0;0;
2009-12-18;0;0.0;0;0;0;
2009-12-19;0;0.0;0;0;0;
2009-12-20;180;3.0;2;2;0;
2009-12-21;0;0.0;0;0;0;
2009-12-22;0;0.0;0;0;0;
2009-12-23;0;0.0;0;0;0;
2009-12-24;0;0.0;0;0;0;
2009-12-25;175;2.92;2;0;2;
2009-12-26;0;0.0;0;0;0;
2009-12-27;88;1.47;1;0;1;
2009-12-28;0;0.0;0;0;0;
2009-12-29;0;0.0;0;0;0;
2009-12-30;0;0.0;0;0;0;
2009-12-31;0;0.0;0;0;0;
2010-01-01;100;1.67;2;0;2;
2010-01-02;0;0.0;0;0;0;
2010-01-03;0;0.0;0;0;0;
2010-01-04;0;0.0;0;0;0;
2010-01-05;0;0.0;0;0;0;
2010-01-06;0;0.0;0;0;0;
2010-01-07;0;0.0;0;0;0;
2010-01-08;0;0.0;0;0;0;
2010-01-09;0;0.0;0;0;0;
2010-01-10;0;0.0;0;0;0;
2010-01-11;0;0.0;0;0;0;
2010-01-12;0;0.0;0;0;0;
2010-01-13;0;0.0;0;0;0;
2010-01-14;0;0.0;0;0;0;
2010-01-15;0;0.0;0;0;0;
2010-01-16;0;0.0;0;0;0;
2010-01-17;0;0.0;0;0;0;
2010-01-18;0;0.0;0;0;0;
2010-01-19;0;0.0;0;0;0;
2010-01-20;0;0.0;0;0;0;
2010-01-21;0;0.0;0;0;0;
2010-01-22;0;0.0;0;0;0;
2010-01-23;0;0.0;0;0;0;
2010-01-24;0;0.0;0;0;0;
2010-01-25;0;0.0;0;0;0;
2010-01-26;0;0.0;0;0;0;
2010-01-27;0;0.0;0;0;0;
2010-01-28;0;0.0;0;0;0;
2010-01-29;0;0.0;0;0;0;
2010-01-30;137;2.28;2;1;1;
2010-01-31;0;0.0;0;0;0;
2010-02-01;0;0.0;0;0;0;
2010-02-02;0;0.0;0;0;0;
2010-02-03;191;3.18;2;0;2;
2010-02-04;0;0.0;0;0;0;
2010-02-05;0;0.0;0;0;0;
2010-02-06;0;0.0;0;0;0;
2010-02-07;0;0.0;0;0;0;
2010-02-08;0;0.0;0;0;0;
2010-02-09;0;0.0;0;0;0;
2010-02-10;0;0.0;0;0;0;
2010-02-11;0;0.0;0;0;0;
2010-02-12;0;0.0;0;0;0;
2010-02-13;0;0.0;0;0;0;
2010-02-14;0;0.0;0;0;0;
2010-02-15;0;0.0;0;0;0;
2010-02-16;0;0.0;0;0;0;
2010-02-17;0;0.0;0;0;0;
2010-02-18;0;0.0;0;0;0;
2010-02-19;496;8.27;2;0;2;
2010-02-20;91;1.52;1;0;1;
2010-02-21;0;0.0;0;0;0;
2010-02-22;0;0.0;0;0;0;
2010-02-23;0;0.0;0;0;0;
2010-02-24;91;1.52;1;0;1;
2010-02-25;0;0.0;0;0;0;
2010-02-26;128;2.13;1;0;1;
2010-02-27;0;0.0;0;0;0;
2010-02-28;0;0.0;0;0;0;
2010-03-01;0;0.0;0;0;0;
2010-03-02;0;0.0;0;0;0;
2010-03-03;0;0.0;0;0;0;
2010-03-04;0;0.0;0;0;0;
2010-03-05;0;0.0;0;0;0;
2010-03-06;0;0.0;0;0;0;
2010-03-07;744;12.4;3;0;3;
2010-03-08;0;0.0;0;0;0;
2010-03-09;0;0.0;0;0;0;
2010-03-10;0;0.0;0;0;0;
2010-03-11;0;0.0;0;0;0;
2010-03-12;0;0.0;0;0;0;
2010-03-13;0;0.0;0;0;0;
2010-03-14;0;0.0;0;0;0;
2010-03-15;0;0.0;0;0;0;
2010-03-16;0;0.0;0;0;0;
2010-03-17;0;0.0;0;0;0;
2010-03-18;0;0.0;0;0;0;
2010-03-19;0;0.0;0;0;0;
2010-03-20;0;0.0;0;0;0;
2010-03-21;0;0.0;0;0;0;
2010-03-22;0;0.0;0;0;0;
2010-03-23;0;0.0;0;0;0;
2010-03-24;0;0.0;0;0;0;
2010-03-25;0;0.0;0;0;0;
2010-03-26;0;0.0;0;0;0;
2010-03-27;85;1.42;1;0;1;
2010-03-28;0;0.0;0;0;0;
2010-03-29;0;0.0;0;0;0;
2010-03-30;0;0.0;0;0;0;
2010-03-31;0;0.0;0;0;0;
2010-04-01;0;0.0;0;0;0;
2010-04-02;0;0.0;0;0;0;
2010-04-03;0;0.0;0;0;0;
2010-04-04;0;0.0;0;0;0;
2010-04-05;0;0.0;0;0;0;
2010-04-06;0;0.0;0;0;0;
2010-04-07;0;0.0;0;0;0;
2010-04-08;0;0.0;0;0;0;
2010-04-09;0;0.0;0;0;0;
2010-04-10;0;0.0;0;0;0;
2010-04-11;0;0.0;0;0;0;
2010-04-12;0;0.0;0;0;0;
2010-04-13;0;0.0;0;0;0;
2010-04-14;0;0.0;0;0;0;
2010-04-15;0;0.0;0;0;0;
2010-04-16;0;0.0;0;0;0;
2010-04-17;0;0.0;0;0;0;
2010-04-18;0;0.0;0;0;0;
2010-04-19;0;0.0;0;0;0;
2010-04-20;0;0.0;0;0;0;
2010-04-21;0;0.0;0;0;0;
2010-04-22;0;0.0;0;0;0;
2010-04-23;129;2.15;1;0;1;
2010-04-24;0;0.0;0;0;0;
2010-04-25;0;0.0;0;0;0;
2010-04-26;0;0.0;0;0;0;
2010-04-27;0;0.0;0;0;0;
2010-04-28;0;0.0;0;0;0;
2010-04-29;0;0.0;0;0;0;
2010-04-30;0;0.0;0;0;0;
2010-05-01;44;0.73;1;1;0;
2010-05-02;308;5.13;7;7;0;
2010-05-03;264;4.4;6;6;0;
2010-05-04;144;2.4;1;0;1;
2010-05-05;66;1.1;2;2;0;
2010-05-06;0;0.0;0;0;0;
2010-05-07;0;0.0;0;0;0;
2010-05-08;0;0.0;0;0;0;
2010-05-09;0;0.0;0;0;0;
2010-05-10;0;0.0;0;0;0;
2010-05-11;0;0.0;0;0;0;
2010-05-12;0;0.0;0;0;0;
2010-05-13;352;5.87;8;8;0;
2010-05-14;264;4.4;6;6;0;
2010-05-15;0;0.0;0;0;0;
2010-05-16;308;5.13;7;7;0;
2010-05-17;616;10.27;14;14;0;
2010-05-18;220;3.67;5;5;0;
2010-05-19;528;8.8;12;12;0;
2010-05-20;362;6.03;7;6;1;
2010-05-21;309;5.15;4;1;3;
2010-05-22;160;2.67;3;1;2;
2010-05-23;0;0.0;0;0;0;
2010-05-24;0;0.0;0;0;0;
2010-05-25;74;1.23;3;3;0;
2010-05-26;210;3.5;7;7;0;
2010-05-27;321;5.35;5;3;2;
2010-05-28;900;15.0;6;1;5;
2010-05-29;391;6.52;11;10;1;
2010-05-30;505;8.42;13;12;1;
2010-05-31;854;14.23;20;20;0;
2010-06-01;688;11.47;16;16;0;
2010-06-02;318;5.3;6;5;1;
2010-06-03;0;0.0;0;0;0;
2010-06-04;0;0.0;0;0;0;
2010-06-05;0;0.0;0;0;0;
2010-06-06;0;0.0;0;0;0;
2010-06-07;0;0.0;0;0;0;
2010-06-08;0;0.0;0;0;0;
2010-06-09;0;0.0;0;0;0;
2010-06-10;0;0.0;0;0;0;
2010-06-11;0;0.0;0;0;0;
2010-06-12;90;1.5;1;1;0;
2010-06-13;0;0.0;0;0;0;
2010-06-14;0;0.0;0;0;0;
2010-06-15;0;0.0;0;0;0;
2010-06-16;496;8.27;9;5;4;
2010-06-17;0;0.0;0;0;0;
2010-06-18;97;1.62;1;0;1;
2010-06-19;0;0.0;0;0;0;
2010-06-20;0;0.0;0;0;0;
2010-06-21;115;1.92;1;0;1;
2010-06-22;0;0.0;0;0;0;
2010-06-23;0;0.0;0;0;0;
2010-06-24;0;0.0;0;0;0;
