Date;Title;URL;Source;Type;Runtime;Year;Rated;Released;Genre;Director;Actors;Rating;IMDB ID;Series Title;Triage
12/22/16;Sarah & Duck: Season 2: "Lost Librarian / Scooter Stand Hill / Music Fixer";/title/80097061;Netflix;movie;25;1981;N/A;N/A;Short;Spike Lee;N/A;2.7;tt0209300;Sarah & Duck;false
12/21/16;Paranoid: Season 1: "Episode 8";/title/80123737;Netflix;movie;93;2000;N/A;26 Oct 2000;Crime, Thriller;John Duigan;Jessica Alba, Iain Glen, Jeanne Tripplehorn, Ewen Bremner;3.9;tt0197750;Paranoid;false
12/21/16;Paranoid: Season 1: "Episode 7";/title/80123736;Netflix;movie;93;2000;N/A;26 Oct 2000;Crime, Thriller;John Duigan;Jessica Alba, Iain Glen, Jeanne Tripplehorn, Ewen Bremner;3.9;tt0197750;Paranoid;false
12/21/16;Paranoid: Season 1: "Episode 6";/title/80123735;Netflix;movie;93;2000;N/A;26 Oct 2000;Crime, Thriller;John Duigan;Jessica Alba, Iain Glen, Jeanne Tripplehorn, Ewen Bremner;3.9;tt0197750;Paranoid;false
12/21/16;War Pigs;/title/80072386;Netflix;movie;91;2015;R;18 Sep 2015;Action, War;Ryan Little;Luke Goss, Dolph Lundgren, Chuck Liddell, Mickey Rourke;4.1;tt3779300;War Pigs;false
12/21/16;Sarah & Duck: Season 2: "Parasol Show / Extra Bounce / Cake Relocate";/title/80097060;Netflix;movie;25;1981;N/A;N/A;Short;Spike Lee;N/A;2.7;tt0209300;Sarah & Duck;false
12/20/16;It's Always Sunny in Philadelphia: Season 9: "Mac and Dennis Buy a Timeshare";/title/70228428;Netflix;series;22;2005–;TV-MA;04 Aug 2005;Comedy;N/A;Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson;8.8;tt0472954;It's Always Sunny in Philadelphia;false
12/20/16;Paranoid: Season 1: "Episode 5";/title/80123734;Netflix;movie;93;2000;N/A;26 Oct 2000;Crime, Thriller;John Duigan;Jessica Alba, Iain Glen, Jeanne Tripplehorn, Ewen Bremner;3.9;tt0197750;Paranoid;false
12/19/16;Paranoid: Season 1: "Episode 4";/title/80123733;Netflix;movie;93;2000;N/A;26 Oct 2000;Crime, Thriller;John Duigan;Jessica Alba, Iain Glen, Jeanne Tripplehorn, Ewen Bremner;3.9;tt0197750;Paranoid;false
12/19/16;Sarah & Duck: Season 2: "Rainbow's Niece / Decorating Donkey / Duck Hotel";/title/80097059;Netflix;movie;25;1981;N/A;N/A;Short;Spike Lee;N/A;2.7;tt0209300;Sarah & Duck;false
12/18/16;Paranoid: Season 1: "Episode 3";/title/80123732;Netflix;movie;93;2000;N/A;26 Oct 2000;Crime, Thriller;John Duigan;Jessica Alba, Iain Glen, Jeanne Tripplehorn, Ewen Bremner;3.9;tt0197750;Paranoid;false
12/18/16;Paranoid: Season 1: "Episode 2";/title/80123731;Netflix;movie;93;2000;N/A;26 Oct 2000;Crime, Thriller;John Duigan;Jessica Alba, Iain Glen, Jeanne Tripplehorn, Ewen Bremner;3.9;tt0197750;Paranoid;false
